road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,bun,ji,hjd_cd,public_price,jimok_cd,area,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,uploaded_mo,uploaded_day,price_per_area
3,49.4,2019,07,18,11560,12100,0016,0099,605,6069000,08,49.4,16,230,02,02,04,2020,01,01,9983805.7
1,397.0,2016,02,29,11470,10200,0131,0043,602,2260000,08,397.0,13,150,04,01,08,2016,01,01,3149622.2
0,74.4,2018,12,26,11200,12200,0142,0010,000,1419000,08,74.4,15,910,02,00,00,2020,01,01,1359946.2
0,109.0,2017,05,18,11530,10600,0072,0010,601,3399000,08,109.0,33,240,02,07,12,2020,01,01,2752293.6
0,40.0,2020,03,9,11230,10200,0755,0029,002,2714000,08,40.0,14,150,02,07,12,2020,01,01,2875000.0
1,115.1,2016,10,31,11560,10800,0080,0004,535,5040000,08,115.1,16,310,02,04,08,2020,01,01,6201650.7
1,109.2,2016,01,14,11305,10300,0697,0014,620,2246000,08,109.2,14,130,02,03,09,2020,01,01,3703296.7
1,55.0,2016,01,27,11290,10100,0015,0235,901,3168000,08,55.0,11,110,03,02,08,2016,01,01,4245818.2
4,552.0,2020,05,26,11110,18300,0081,0001,906,3907000,01,552.0,14,320,02,07,03,2020,01,01,5180923.9
1,38.0,2016,10,15,11650,10900,0099,0002,000,2797000,08,38.0,11,150,03,04,10,2020,01,01,3183947.4
1,417.0,2019,05,3,11320,10800,0427,0003,001,1770000,08,417.0,13,150,02,07,10,2020,01,01,2115107.9
4,662.1,2016,11,24,11215,10900,0473,0001,000,11420000,08,603.7,22,220,02,04,02,2020,01,01,14338060.7
3,120.0,2020,07,15,11215,10500,0559,0019,003,7093000,08,120.0,15,220,02,05,05,2020,01,01,12100000.0
1,281.0,2020,08,12,11650,10100,0541,0010,000,1894000,01,281.0,14,910,03,07,09,2020,01,01,4144128.1
1,36.5,2020,12,15,11320,10700,0746,0001,005,3073000,08,36.5,33,320,02,04,08,2020,01,01,6630137.0
1,99.2,2016,07,27,11110,17400,0177,0000,915,5495000,08,244.0,16,310,02,07,08,2020,01,01,7963709.7
3,38.0,2018,02,26,11350,10400,0180,0029,000,3288000,08,38.0,13,210,02,05,04,2020,01,01,5157105.3
0,79.0,2020,03,12,11530,10800,0252,0004,800,2179000,02,79.0,14,150,02,07,12,2020,01,01,3037974.7
1,211.0,2020,05,21,11320,10600,0058,0011,003,350500,05,211.0,13,730,03,05,08,2020,01,01,365023.7
0,66.0,2016,11,18,11200,11300,0006,0023,000,680600,05,66.0,15,730,05,07,12,2020,01,01,402575.8
3,178.0,2020,01,17,11170,13100,0095,0013,518,12400000,08,178.0,22,230,02,04,04,2020,01,01,32528089.9
4,357.0,2020,11,3,11440,11000,0031,0216,000,16800000,08,357.0,22,230,02,03,01,2020,01,01,27170868.3
4,89.3,2016,11,25,11140,15000,0266,0003,007,23700000,08,89.3,22,230,02,04,02,2019,01,01,25755879.1
1,102.8,2018,12,13,11560,10200,0032,0002,535,3818000,08,102.8,16,110,02,08,08,2019,01,01,9338521.4
0,803.0,2016,10,4,11710,11400,0060,0002,006,502900,01,803.0,44,510,03,07,12,2020,01,01,585305.1
1,210.0,2020,05,28,11110,18300,0281,0004,906,3163000,01,210.0,13,210,02,04,08,2020,01,01,3090476.2
1,980.0,2018,03,3,11500,11100,0161,0001,111,161600,02,980.0,44,620,02,04,08,2020,01,01,166122.4
4,680.0,2019,05,22,11560,13200,0433,0011,670,4756000,02,680.0,14,240,02,07,03,2020,01,01,21175000.0
1,281.0,2016,01,5,11320,10800,0068,0007,001,46100,05,281.0,44,720,03,04,10,2020,01,01,266903.9
1,221.0,2020,12,17,11350,10200,0873,0014,004,1917000,08,221.0,43,110,02,02,08,2020,01,01,3506787.3
0,138.0,2020,09,9,11590,10100,0280,0001,202,1469000,08,138.0,15,910,00,00,00,2020,01,01,5434782.6
1,221.0,2019,11,14,11410,11000,0571,0000,001,1372000,08,221.0,14,910,03,01,08,2020,01,01,3329547.5
4,467.4,2016,08,23,11680,10500,0116,0002,000,25260000,08,467.4,22,210,02,04,03,2020,01,01,39442533.2
2,130.3,2019,02,20,11290,10200,0115,0017,901,4860000,08,130.3,14,310,02,04,07,2020,01,01,9976976.2
1,378.0,2016,04,15,11110,18600,0211,0008,905,2475000,05,378.0,13,130,03,07,08,2020,01,01,2148148.1
1,44.0,2018,02,13,11410,11100,0044,0726,000,3400000,08,44.0,14,150,03,02,02,2020,01,01,3022727.3
4,70.0,2020,12,16,11170,13200,0090,0020,519,8225000,08,70.0,15,240,02,07,03,2020,01,01,9642857.1
1,202.8,2019,02,20,11290,10200,0115,0016,901,4860000,08,202.8,14,310,02,04,07,2020,01,01,6903353.1
0,56.0,2020,11,29,11680,11300,0140,0007,000,591600,02,56.0,44,510,02,05,12,2020,01,01,848214.3
1,129.7,2018,10,18,11290,11400,0009,0009,904,3876000,11,129.7,14,150,02,04,08,2020,01,01,6553585.2
1,58.0,2018,04,18,11620,10100,1636,0030,625,4782000,08,58.0,14,310,02,04,09,2020,01,01,4913793.1
1,638.0,2020,07,8,11290,10100,0281,0010,901,2161000,08,638.0,11,160,04,07,10,2020,01,01,1253918.5
0,116.0,2020,04,28,11650,10400,0302,0002,000,328500,05,116.0,44,510,03,07,12,2020,01,01,603448.3
1,335.6,2020,06,11,11680,10600,0913,0022,000,6043000,08,335.6,15,330,02,08,08,2020,01,01,26400476.8
1,216.9,2020,09,14,11215,10300,0063,0016,002,4035000,08,216.9,14,110,02,03,09,2020,01,01,7699400.6
2,118.4,2016,06,11,11200,10300,0123,0008,000,4905000,08,112.6,16,330,02,04,06,2020,01,01,4391891.9
1,114.0,2019,06,27,11440,11000,0056,0068,000,5001000,08,114.0,16,110,02,04,10,2020,01,01,17981929.8
4,248.0,2016,06,8,11230,10400,0100,0001,002,3940000,08,248.0,22,240,02,04,01,2020,01,01,5427419.4
2,72.0,2020,06,17,11305,10100,0039,0007,545,5990000,08,72.0,16,210,02,04,07,2020,01,01,14611388.9
3,143.5,2018,11,9,11140,16700,0027,0005,001,7629000,08,143.5,15,230,02,04,04,2020,01,01,18445993.0
1,56.0,2020,10,29,11290,12500,0086,0123,906,3967000,08,56.0,15,230,02,04,10,2020,01,01,9018928.6
2,198.0,2020,07,9,11440,12400,0246,0020,000,6573000,08,415.5,14,150,02,02,07,2020,01,01,15151515.2
2,290.0,2019,07,10,11530,10700,0171,0024,701,3666000,08,290.0,15,230,02,04,07,2020,01,01,8965517.2
1,334.0,2016,10,31,11590,10200,0373,0001,204,3780000,08,334.0,15,110,03,04,08,2020,01,01,6256736.5
1,185.8,2016,06,20,11170,11600,0168,0010,507,3312000,08,185.8,13,150,03,04,10,2020,01,01,5543595.3
0,122.0,2019,12,2,11530,10800,0150,0044,800,1377000,05,122.0,14,150,03,05,12,2020,01,01,1229508.2
1,43.6,2019,11,7,11290,13400,1064,0044,909,3585000,08,43.6,16,110,02,04,11,2020,01,01,4128440.4
