road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,hjd_cd,public_price,jimok_cd,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,price_per_area
2,133.0,2019,7,26,11320,10800,2,3119000,8,14,310,2,7,7,2020,5135338.3
1,90.0,2019,5,3,11320,10800,1,1927000,1,13,150,2,7,8,2020,2111111.1
0,43.0,2019,6,14,11290,13900,914,924000,8,14,910,0,0,0,2020,3488372.1
4,121.3,2018,10,5,11530,10700,703,5520000,8,15,210,2,4,2,2020,7167683.4
2,286.0,2016,5,11,11110,18500,905,1240000,1,13,730,4,4,6,2020,979021.0
1,887.0,2016,3,30,11230,10500,4,1318000,5,14,150,2,7,12,2020,1862345.0
1,138.4,2018,5,11,11260,10100,4,2393000,8,14,150,3,3,8,2018,3738005.8
1,281.0,2019,7,24,11590,10500,209,4210000,8,14,110,3,4,8,2020,5897117.4
1,173.2,2018,12,18,11305,10300,630,3192000,8,22,320,2,8,10,2020,2904099.3
1,133.0,2019,3,2,11590,10200,204,3257000,8,14,110,3,7,10,2020,5583533.8
1,56.2,2019,9,28,11440,10700,0,4954000,8,13,160,4,5,8,2020,6227758.0
0,304.0,2018,5,3,11620,10200,735,181200,5,13,720,3,4,12,2020,337500.0
4,65.0,2016,6,24,11530,10700,704,4074000,2,33,140,2,7,3,2020,5500000.0
3,179.0,2019,8,23,11170,13100,0,12400000,8,22,230,2,4,4,2020,29608938.5
4,75.0,2020,9,8,11560,10800,535,6346000,8,33,210,2,7,2,2020,13612533.3
0,431.0,2019,3,8,11650,10900,0,313100,1,44,510,2,7,12,2020,612529.0
1,71.8,2020,12,16,11200,10300,0,3185000,8,14,110,2,3,10,2020,5362117.0
0,88.0,2017,8,4,11260,10100,7,3780000,8,14,230,2,4,0,2017,5385000.0
1,180.2,2020,7,9,11140,12500,3,10390000,8,22,230,2,3,8,2020,34174361.8
1,164.0,2020,10,12,11740,10500,105,5567000,8,22,220,2,3,8,2020,19512195.1
0,93.6,2017,8,23,11290,12000,905,686400,8,15,910,0,0,0,2017,1816239.3
1,106.1,2020,6,30,11140,16500,14,5803000,8,22,210,2,2,8,2020,13873704.1
1,85.0,2019,4,8,11590,10700,215,4010000,8,14,150,2,4,8,2020,5156705.9
0,119.0,2017,8,18,11500,10900,902,376200,2,44,910,0,0,0,2020,672268.9
1,64.3,2018,6,13,11110,13600,910,14900000,8,22,210,2,4,10,2020,25754276.8
3,747.0,2019,11,14,11650,10200,0,663000,5,15,720,3,7,4,2020,505756.4
3,619.0,2016,12,29,11530,10600,601,4120000,8,33,140,2,7,2,2020,5215121.2
1,37.7,2020,7,30,11410,11000,1,1501000,8,14,910,3,2,8,2020,7692307.7
1,84.9,2019,6,5,11320,10800,1,1554000,8,13,150,2,5,10,2020,2021790.3
4,48.0,2016,12,29,11530,10600,601,4120000,8,33,140,2,7,2,2020,5215208.3
1,45.0,2020,12,15,11650,10700,0,9956000,8,15,230,2,7,8,2020,20664222.2
2,139.2,2018,7,3,11260,10100,3,3138000,8,14,110,2,2,7,2020,5495689.7
1,33.0,2016,6,17,11620,10100,525,1818000,8,14,110,2,4,10,2016,3030303.0
1,72.0,2020,4,2,11410,11800,2,2434000,8,14,110,3,7,8,2020,3214305.6
0,109.1,2020,10,8,11230,10200,0,993300,8,14,910,0,0,0,2020,1497341.9
0,136.0,2017,11,14,11260,10200,9,2791000,8,14,160,2,4,8,2020,2147058.8
0,121.4,2016,11,8,11410,10900,0,2502000,8,14,110,3,4,8,2020,2316309.7
2,347.0,2016,7,18,11290,10100,901,2551000,8,13,150,2,7,6,2016,1966858.8
1,36.0,2016,9,2,11260,10100,7,1782000,8,14,110,2,8,0,2017,3216944.4
1,71.4,2019,7,9,11200,12200,0,3686000,8,15,110,2,3,10,2020,5019747.9
4,324.4,2018,12,11,11320,10600,1,4735000,8,33,210,2,7,2,2020,7044728.7
1,79.0,2020,2,28,11260,10200,9,2289000,8,15,150,2,4,10,2020,4835443.0
3,83.0,2020,5,27,11440,11500,0,5433000,8,14,320,2,5,4,2020,10888915.7
0,44.0,2016,8,16,11290,10900,903,3105000,8,14,150,2,4,12,2020,5138636.4
1,107.0,2019,11,15,11590,10200,203,3400000,8,14,150,3,4,8,2020,5196261.7
3,390.0,2018,1,30,11680,10300,0,10200000,8,16,230,2,1,5,2020,19205128.2
1,253.0,2018,11,28,11320,10500,1,1850000,8,14,150,2,4,8,2020,2509881.4
1,44.4,2020,7,27,11140,13800,4,5177000,8,14,210,2,4,8,2020,13250000.0
0,281.0,2016,1,5,11320,10800,1,44400,5,44,720,3,4,12,2020,266903.9
4,251.0,2018,12,20,11230,11000,3,3960000,8,14,330,2,4,2,2020,5992031.9
2,573.5,2016,6,28,11680,10100,0,9879000,8,13,210,2,3,7,2020,12380122.1
3,331.6,2018,4,12,11500,10300,301,5080000,8,22,210,2,4,5,2020,8594692.4
0,109.0,2018,5,11,11440,11400,0,1626000,8,15,910,0,0,0,2020,2293578.0
1,57.0,2018,12,21,11290,11100,904,2221000,8,13,150,3,7,10,2020,2493333.3
1,51.0,2020,3,24,11350,10400,0,2138000,8,14,110,2,5,8,2020,3284313.7
1,355.0,2020,2,6,11650,11100,0,2879000,8,11,110,2,8,8,2020,6554929.6
1,330.0,2016,10,4,11290,13300,908,1300000,8,44,150,3,4,8,2020,1515151.5
0,77.0,2017,12,20,11590,10600,214,3950000,8,14,150,2,7,8,2020,1400000.0
3,140.0,2016,9,7,11350,10300,0,4147000,5,14,240,2,7,0,2017,8392857.1
1,79.3,2020,3,27,11110,17400,915,5030000,11,22,240,2,4,10,2020,10551702.4
3,98.0,2016,5,25,11560,10100,515,4017000,8,14,310,1,4,4,2020,3061224.5
4,64.8,2016,10,14,11110,17500,916,8299000,8,14,210,2,3,1,2020,6790123.5
3,169.4,2018,7,17,11290,11700,905,4719000,8,14,330,2,3,4,2020,7083825.3
2,327.6,2020,9,2,11710,10600,14,6175000,8,14,330,2,4,7,2020,11446886.4
1,34.0,2018,6,3,11200,11300,0,3237000,8,14,110,2,4,10,2020,20588235.3
4,791.9,2019,12,10,11680,10800,0,16750000,12,15,210,2,3,1,2020,26265942.7
3,728.1,2019,3,28,11500,10600,601,4716000,8,16,210,2,2,5,2020,5390743.0
1,115.7,2019,8,14,11140,15000,7,9256000,8,22,230,2,7,10,2020,12172083.0
1,89.3,2019,4,18,11410,10200,0,5298000,8,15,330,2,4,8,2020,11791713.3
1,694.0,2018,1,4,11740,10700,107,433100,1,44,510,2,4,10,2020,778098.0
2,302.0,2019,8,28,11740,10900,109,10170000,8,22,230,2,7,6,2020,19056291.4
1,40.0,2016,3,2,11230,10500,1,3376000,8,14,160,2,2,8,2020,3695500.0
0,40.0,2018,1,29,11440,10900,0,4140000,8,14,150,3,7,3,2020,2705000.0
4,60.0,2018,4,17,11530,11000,110,3778000,1,14,230,2,4,3,2020,4666666.7
1,111.5,2018,9,27,11410,11700,2,2523000,8,14,150,3,7,8,2020,3872825.1
4,487.0,2019,11,11,11710,11100,9,965000,2,44,530,1,7,1,2020,918008.2
3,178.1,2018,8,22,11200,12200,0,5723000,8,16,210,2,4,4,2020,9219988.8
1,86.0,2019,9,7,11140,16200,8,5710000,8,22,110,2,4,10,2020,16627907.0
4,40.0,2019,11,21,11440,10200,0,15040000,8,16,210,2,2,2,2020,21750000.0
1,480.1,2019,5,28,11680,10800,0,7040000,8,15,150,2,3,8,2020,19568839.8
1,767.0,2016,11,11,11620,10100,605,2282000,5,14,150,3,7,10,2020,1629726.2
3,85.0,2019,12,4,11530,10800,800,1254000,8,33,910,2,7,4,2020,3482352.9
1,85.0,2018,4,23,11230,11000,2,970200,1,14,910,2,7,10,2020,2321411.8
1,912.0,2018,5,15,11290,10100,901,393300,5,11,730,3,7,10,2020,605263.2
3,98.0,2020,9,14,11530,10600,601,1240000,8,15,910,2,2,4,2020,3469387.8
0,360.0,2020,10,4,11620,10200,745,937200,8,14,910,0,0,0,2020,2055555.6
4,494.6,2018,8,8,11170,11800,507,8190000,8,14,210,2,7,3,2020,12838657.5
1,199.3,2018,12,13,11140,10500,3,31370000,8,21,230,2,4,8,2020,35084847.0
0,53.0,2016,8,26,11530,10800,800,1622000,1,14,110,3,4,10,2020,1792452.8
0,803.0,2018,6,14,11650,10400,0,137000,2,44,510,3,7,12,2020,354122.0
1,50.0,2018,2,14,11110,18400,905,1687000,8,44,110,3,7,10,2020,2400000.0
0,102.0,2020,9,11,11200,11400,0,2046000,1,33,910,2,0,0,2020,4872549.0
1,75.0,2018,1,24,11440,10300,0,4237000,8,22,910,0,0,0,2020,19600000.0
1,164.3,2019,9,18,11560,10200,535,4190000,8,22,230,2,7,10,2020,16068168.0
1,212.0,2020,10,17,11530,10900,109,481600,2,44,510,2,7,8,2020,724528.3
2,53.5,2018,5,28,11170,12200,510,11100000,8,22,230,2,7,2,2020,21110093.5
2,66.9,2016,9,8,11140,11000,3,28300000,8,22,230,2,1,6,2020,43071898.4
1,392.0,2016,3,24,11290,10100,901,2024000,8,11,160,4,8,10,2020,1045918.4
1,52.2,2016,8,25,11170,11900,0,6489000,8,14,140,3,7,2,2020,3354980.8
1,69.0,2016,12,26,11380,10100,118,3530000,8,15,150,2,7,3,2020,2744637.7
0,73.0,2020,10,21,11380,10400,0,904200,8,14,910,0,0,0,2020,6232876.7
1,299.1,2020,11,9,11680,10800,0,7344000,8,13,110,2,1,9,2020,17719826.1
4,107.0,2019,10,21,11620,10200,645,7020000,8,15,230,2,4,3,2020,12770000.0
0,180.0,2018,7,23,11560,13200,670,861300,8,14,910,0,0,0,2020,2750000.0
4,92.0,2018,3,25,11215,10500,3,10250000,8,16,310,2,2,2,2020,27391304.3
1,313.6,2020,2,4,11500,10300,308,3990000,8,15,150,2,1,8,2020,6377551.0
4,35.0,2019,12,30,11110,16300,911,24400000,8,22,210,2,4,1,2020,22485714.3
1,47.0,2018,1,16,11305,10400,645,2396000,8,14,130,2,4,9,2020,4255319.1
0,36.0,2017,5,17,11500,10500,105,2630000,1,33,160,2,4,8,2020,5226388.9
1,305.3,2020,10,27,11710,10500,105,5725000,8,15,150,2,1,8,2020,12099574.2
1,543.0,2019,4,29,11320,10800,1,1190000,1,13,510,2,4,8,2020,1082872.9
3,96.0,2019,10,15,11290,13600,911,5499000,8,15,240,2,5,5,2020,5435000.0
2,161.4,2018,6,12,11680,10100,0,15070000,8,14,220,2,4,7,2020,24008674.1
0,417.0,2017,10,11,11110,18400,905,71400,5,44,720,4,4,12,2020,90000.0
2,133.2,2019,12,11,11590,10900,219,4995000,8,14,330,2,4,6,2020,9009009.0
1,143.0,2020,11,25,11440,11100,0,5875000,8,14,310,2,5,9,2020,10139860.1
2,143.5,2019,12,12,11170,10700,503,12200000,8,22,210,3,7,6,2020,27066689.9
2,208.0,2018,9,10,11560,10100,515,3593000,8,14,110,2,4,7,2020,7259615.4
3,33.8,2019,7,17,11140,12200,3,18410000,8,22,220,2,4,4,2020,69636982.2
4,100.0,2019,12,31,11290,13600,911,3770000,8,15,990,2,7,3,2020,4140000.0
2,235.0,2020,12,16,11110,18500,905,1807000,10,13,160,5,7,7,2020,4225489.4
1,40.4,2016,7,8,11470,10200,604,3252000,8,14,130,2,3,8,2020,5445544.6
1,60.0,2016,7,22,11680,11300,0,578200,1,44,510,2,5,8,2020,1000000.0
2,119.0,2020,8,20,11710,10900,28,1012000,1,43,530,2,7,6,2020,8134453.8
4,157.0,2018,9,7,11560,13200,680,3900000,8,14,150,3,7,2,2020,8401273.9
3,79.0,2016,12,3,11560,13200,670,3636000,8,14,320,2,4,5,2020,5696202.5
4,55.0,2016,12,29,11530,10600,601,4120000,5,33,140,2,7,2,2020,5215090.9
1,539.0,2018,8,24,11320,10800,1,312200,5,44,610,2,7,8,2020,278293.1
1,166.0,2019,9,11,11305,10100,555,3511000,8,15,320,2,1,8,2020,6315662.7
1,99.5,2016,2,5,11260,10600,19,2282000,8,15,160,2,8,8,2020,2100000.0
1,132.2,2018,4,14,11260,10200,9,2686000,8,14,110,3,1,8,2020,4054462.9
4,93.0,2016,12,30,11215,10500,1,6406000,8,15,240,2,7,1,2020,7655053.8
4,66.0,2018,8,20,11380,10600,108,7896000,1,22,220,2,7,2,2020,8712121.2
2,799.0,2016,3,2,11530,10800,800,2867000,8,16,130,2,4,6,2020,4392991.2
1,46.9,2018,8,22,11230,10200,3,3760000,8,15,150,2,4,2,2020,10425799.6
1,316.7,2019,5,3,11110,10100,901,4017000,8,13,150,3,2,8,2020,5446037.3
1,362.4,2016,9,4,11620,10300,630,3980000,8,14,130,3,1,8,2020,5187638.0
4,284.0,2019,12,27,11500,10400,401,4805000,9,33,410,2,4,2,2020,10394612.7
1,155.7,2016,11,15,11590,10800,218,2412000,8,14,130,3,8,10,2020,3147077.7
1,397.0,2018,4,18,11650,10400,0,292000,2,44,510,3,7,10,2020,403022.7
1,43.0,2020,5,22,11320,10800,1,991300,8,44,110,2,4,10,2020,2790697.7
1,687.0,2019,5,16,11170,13100,517,9700000,8,13,110,3,4,8,2020,14992722.0
4,99.5,2016,3,17,11170,12500,511,27600000,8,22,240,2,4,2,2018,31959799.0
2,54.9,2018,11,17,11290,11300,904,3949000,8,14,150,2,3,6,2020,5737704.9
0,307.0,2017,10,11,11110,18400,905,69200,5,44,720,4,4,12,2020,95016.3
3,226.0,2016,12,29,11530,10600,601,4120000,8,33,140,2,7,2,2020,5215132.7
0,79.0,2018,6,24,11380,10400,105,970000,8,13,910,0,0,0,2020,1822784.8
1,85.0,2018,11,5,11560,12100,605,3765000,8,16,110,2,2,10,2020,8823529.4
1,279.0,2018,4,17,11110,18300,906,1510000,8,44,110,3,2,8,2020,3046595.0
0,255.0,2020,9,1,11590,10700,214,2326000,28,14,150,4,7,12,2020,1902352.9
1,50.0,2016,6,17,11530,10800,800,7728000,8,22,240,2,4,3,2020,1945000.0
0,78.0,2016,6,16,11740,10900,109,1211000,8,16,910,0,0,0,2020,1153846.2
0,632.0,2020,7,4,11650,11100,0,642200,2,44,510,2,7,12,2020,474683.5
1,138.8,2016,9,5,11110,13500,910,17300000,8,22,210,2,2,11,2020,26196902.0
2,777.0,2018,3,14,11530,10900,109,860400,5,14,720,3,7,6,2020,949935.6
1,83.6,2019,9,25,11560,12100,605,3765000,8,16,110,2,2,10,2020,8468899.5
1,205.0,2020,11,18,11410,11800,2,2021000,8,14,150,4,7,10,2020,2662682.9
1,347.0,2016,2,25,11530,10700,702,2858000,8,15,130,2,2,8,2020,4386167.1
2,319.3,2020,12,1,11260,10300,11,3140000,8,14,110,2,3,6,2020,6365487.0
1,105.0,2016,1,28,11530,11100,111,708400,1,44,530,2,4,8,2016,952381.0
1,125.4,2019,11,7,11290,13400,909,3550000,8,16,110,2,4,10,2020,3987240.8
0,106.0,2019,2,11,11500,11200,112,143600,2,44,610,2,5,10,2020,94339.6
1,40.7,2018,3,16,11200,11100,0,5502000,8,16,210,2,4,9,2020,4914004.9
4,317.0,2016,9,23,11200,10200,0,4100000,8,15,140,2,4,0,2017,6388895.9
1,119.0,2016,12,27,11530,10200,207,2558000,8,33,430,2,4,10,2020,2773109.2
0,37.0,2019,7,24,11590,10500,209,4210000,8,13,130,4,4,8,2020,5764054.1
1,168.0,2020,1,30,11110,18600,905,2189000,8,14,110,2,7,10,2020,3571428.6
1,98.2,2018,11,30,11140,15600,7,7510000,8,22,210,2,4,10,2020,20824847.3
3,826.0,2019,1,23,11680,10400,0,13640000,8,15,140,2,2,5,2020,28731150.1
1,82.0,2019,1,17,11530,10100,101,1229000,1,16,910,2,4,8,2020,5731707.3
0,58.0,2020,11,30,11590,10500,209,1326000,8,14,910,0,0,0,2020,4245862.1
1,83.0,2020,2,19,11530,10700,703,1908000,1,13,150,3,8,8,2020,3628915.7
0,337.0,2016,12,29,11380,10700,109,3520000,8,14,150,2,4,2,2020,2416646.9
1,430.0,2016,9,21,11140,16500,14,5420000,8,22,310,2,4,6,2018,7479069.8
3,223.0,2016,10,25,11320,10600,3,3490000,8,15,240,2,2,4,2019,3746009.0
1,87.6,2018,6,1,11140,12800,3,4340000,8,14,320,2,4,8,2020,11117808.2
1,149.0,2019,1,25,11230,10900,0,4197000,8,15,210,2,4,9,2020,8898926.2
1,76.0,2016,11,9,11380,10700,110,4290000,5,15,140,2,4,2,2020,2398684.2
1,330.0,2016,11,1,11740,10600,106,697600,2,44,510,2,7,8,2020,1121212.1
4,633.0,2019,12,30,11320,10800,1,3032000,1,14,230,2,4,2,2020,3001579.8
3,189.8,2019,4,12,11140,13500,6,8646000,8,22,230,2,7,12,2020,18183350.9
0,268.0,2016,12,22,11650,11000,0,417900,1,44,510,3,7,12,2020,504067.2
3,269.0,2020,12,28,11590,10800,218,6500000,8,15,210,2,7,5,2020,7546468.4
1,186.0,2020,1,30,11500,11000,110,180200,2,44,610,1,5,10,2020,907526.9
1,287.7,2018,4,18,11290,13400,909,2960000,8,14,150,2,4,8,2020,2759993.0
4,438.3,2018,8,8,11530,11100,111,3750000,8,16,210,2,3,2,2020,6160164.3
1,42.0,2018,10,4,11200,11100,0,2887000,8,14,150,3,7,8,2020,2547619.0
1,36.0,2018,3,26,11290,13500,910,2617000,8,14,130,2,4,8,2020,3960000.0
1,63.0,2016,10,7,11530,10700,704,2325000,8,15,110,2,7,8,2016,3931746.0
3,66.0,2019,2,20,11230,10900,2,2875000,5,14,150,2,7,4,2020,3330000.0
1,79.0,2020,8,5,11305,10300,660,1877000,28,14,110,2,2,8,2020,4303797.5
4,695.6,2016,6,2,11740,11000,110,5989000,8,16,210,2,3,2,2020,5218516.4
0,264.0,2017,7,31,11290,10100,901,1316000,8,11,910,0,0,0,2020,1515151.5
3,126.6,2016,3,8,11320,10600,1,3376000,8,14,330,2,3,4,2020,4344391.8
1,104.8,2016,5,24,11200,11500,0,4645000,8,33,330,2,2,10,2020,3816793.9
4,433.0,2019,12,27,11500,10400,401,4805000,9,33,410,2,4,2,2020,10394618.9
1,296.0,2016,12,28,11380,11400,119,450000,28,44,530,2,7,10,2020,241993.2
1,476.0,2019,3,14,11500,11200,112,202700,1,44,510,2,4,8,2020,180672.3
1,117.4,2018,10,30,11110,11200,903,9910000,8,14,210,2,4,10,2020,20776916.5
1,40.0,2016,4,21,11305,10100,545,4940000,8,15,210,2,4,8,2020,7500000.0
1,617.0,2019,7,5,11650,10100,0,7141000,8,14,130,3,4,8,2020,14586709.9
1,175.0,2018,10,1,11530,10700,701,3030000,8,22,160,3,4,10,2020,5893771.4
0,346.0,2017,11,1,11740,10600,106,135300,5,44,720,3,7,12,2020,433526.0
1,47.0,2016,7,27,11260,10100,7,2809000,8,15,160,2,4,8,2020,3936170.2
1,135.0,2019,7,1,11260,10600,19,2600000,8,15,320,2,4,8,2020,3111111.1
1,257.2,2016,8,31,11710,11100,8,11220000,8,22,220,2,4,9,2020,11664074.7
0,205.0,2017,4,20,11290,10300,902,3043000,5,15,130,3,4,6,2018,975609.8
1,73.9,2019,11,26,11140,16600,1,5709000,8,22,910,0,0,0,2020,13531799.7
4,883.0,2018,8,20,11380,10600,108,7845000,8,22,220,2,7,2,2020,8720271.8
1,190.4,2016,7,16,11620,10200,695,4387000,8,16,160,2,4,8,2020,9086134.5
1,304.1,2019,12,12,11110,15300,910,5572000,8,22,160,2,7,10,2020,23403781.7
4,112.1,2019,4,12,11260,10500,17,2850000,8,15,150,2,8,1,2020,3907225.7
1,144.0,2016,10,26,11110,18300,906,2508000,8,11,160,4,7,8,2020,2534791.7
3,67.0,2018,10,25,11590,10900,220,5380000,2,14,240,2,4,4,2020,7462686.6
1,107.0,2020,4,7,11590,10200,203,3400000,8,14,150,3,4,8,2020,6943925.2
1,164.3,2018,2,10,11560,10200,535,4190000,8,22,230,2,7,10,2020,6999391.4
4,554.4,2018,1,10,11680,10100,0,29630000,8,22,220,2,2,2,2020,43831168.8
0,661.0,2016,11,15,11740,10700,107,527800,1,44,510,2,4,12,2020,627836.6
0,101.0,2020,6,24,11650,10300,0,2516000,8,11,510,3,7,12,2020,2574257.4
1,293.0,2018,1,26,11500,11000,110,335100,28,44,160,3,7,10,2020,375426.6
1,511.7,2019,12,2,11260,10200,10,3171000,8,16,160,2,2,8,2020,3859683.4
1,37.4,2019,10,1,11305,10300,610,4311000,8,22,230,2,7,8,2020,5882352.9
0,337.0,2017,10,11,11110,18400,905,71400,5,44,720,4,4,12,2020,90000.0
1,177.0,2018,4,4,11650,10300,0,781200,1,44,510,2,7,10,2020,847457.6
1,48.3,2016,1,6,11290,12200,906,1963000,8,14,110,3,7,10,2016,2897308.5
1,36.0,2018,11,23,11380,10100,0,2229000,25,13,160,3,7,8,2020,2610000.0
0,88.0,2019,12,30,11290,13400,909,1430000,8,22,910,0,0,0,2020,1363636.4
2,170.0,2019,5,9,11350,10500,11,9720000,1,16,210,2,4,7,2020,17256941.2
1,496.0,2020,12,11,11410,11800,3,1998000,28,14,150,3,7,8,2020,4536290.3
2,347.5,2020,8,14,11410,11800,0,2704000,8,15,150,3,4,6,2020,5467625.9
1,66.0,2018,6,12,11560,13200,650,4233000,8,23,230,2,3,10,2020,6515151.5
4,195.0,2016,9,23,11200,10200,0,4100000,8,15,140,2,4,0,2017,7271897.4
3,35.0,2016,6,16,11500,10900,901,3942000,8,14,210,2,4,5,2020,3892857.1
1,34.4,2016,8,3,11290,13000,907,3320000,8,16,110,2,2,10,2020,2761627.9
1,116.0,2018,8,10,11290,11000,903,3478000,8,14,110,3,2,8,2020,4827586.2
1,35.0,2018,3,9,11410,11100,2,3400000,5,14,150,3,2,2,2020,2975142.9
3,65.0,2018,8,16,11740,10900,109,4310000,8,14,150,2,7,4,2020,6956615.4
3,398.0,2018,6,2,11470,10100,504,4267000,8,14,240,2,3,4,2020,5742939.7
1,293.2,2020,9,18,11650,10700,0,7191000,8,14,310,2,3,8,2020,32401091.4
4,161.0,2016,7,22,11170,13100,0,6593000,8,14,140,2,7,1,2019,9385093.2
1,324.2,2020,10,14,11650,10200,0,6056000,8,14,110,2,7,11,2020,14743985.2
1,61.0,2019,7,24,11590,10500,209,4210000,8,13,130,4,4,8,2020,4864262.3
1,965.0,2019,8,14,11500,11000,110,279700,1,44,510,1,4,8,2020,226943.0
1,60.0,2018,7,25,11350,10200,1,2780000,28,13,150,2,4,8,2020,4083333.3
1,40.0,2020,6,23,11620,10200,745,1570000,5,13,150,2,7,8,2020,9750000.0
4,50.0,2018,9,5,11530,10700,704,4074000,8,33,140,2,7,3,2020,3900000.0
0,423.0,2020,1,15,11200,11400,0,1980000,8,16,910,2,0,0,2020,13612766.0
1,44.0,2020,6,21,11200,10700,0,3225000,8,14,110,2,7,10,2020,4886363.6
4,34.6,2018,10,30,11230,10200,1,10700000,8,22,210,2,3,1,2020,18138728.3
1,57.8,2019,11,20,11545,10300,560,3397000,8,22,230,2,4,10,2020,8260034.6
3,77.0,2016,5,23,11290,13500,910,3868000,8,14,310,2,4,4,2020,4561039.0
0,63.0,2018,12,21,11290,11100,904,755700,8,13,910,0,0,0,2020,2073333.3
4,61.0,2019,1,2,11530,10700,704,6159000,8,15,210,2,7,2,2020,7711967.2
1,70.0,2020,2,7,11290,13600,911,5000000,8,22,210,2,4,11,2020,10571428.6
1,109.0,2019,12,19,11410,11100,2,3400000,8,14,150,3,2,2,2020,4550000.0
1,56.0,2018,1,29,11410,11700,1,2099000,5,14,150,2,7,10,2020,2125000.0
1,171.0,2016,9,30,11290,13800,913,2853000,8,14,110,2,4,9,2020,3479532.2
1,51.0,2016,11,8,11410,11800,2,1465000,8,13,110,3,4,0,2017,2160000.0
3,258.8,2019,1,22,11650,10200,0,6449000,8,14,210,2,5,5,2020,10200000.0
0,63.0,2016,5,27,11740,10900,109,917400,8,14,910,0,0,0,2020,1984127.0
1,370.0,2020,10,12,11530,10600,602,844800,28,14,910,3,3,10,2020,1362162.2
1,321.0,2018,5,2,11380,11400,119,1636000,8,44,110,2,8,8,2020,2242990.7
3,33.7,2018,7,6,11140,13400,6,14800000,8,22,210,2,4,5,2020,18150148.4
1,786.0,2016,4,15,11110,18600,905,2475000,8,13,130,3,7,8,2020,2142493.6
3,84.9,2016,9,8,11140,11000,3,28300000,8,22,230,2,1,6,2020,43071967.0
1,39.7,2020,4,7,11110,16400,911,3170000,8,14,110,4,4,8,2020,3904282.1
0,610.0,2017,6,22,11290,10100,901,404000,5,11,730,3,4,12,2020,210491.8
1,64.0,2019,3,18,11590,10400,201,4577000,8,14,310,2,4,8,2020,8043906.2
1,185.0,2016,11,20,11500,10900,902,3642000,8,23,160,2,7,10,2020,5405405.4
1,58.0,2018,9,13,11410,11800,2,2728000,8,14,150,3,4,9,2020,3368620.7
2,139.0,2016,1,25,11110,18300,906,2548000,8,11,110,4,4,6,2020,1906474.8
4,134.7,2020,1,3,11545,10300,560,6944000,8,22,230,2,4,1,2020,12100000.0
1,104.0,2018,4,16,11545,10200,520,2391000,8,14,110,2,2,10,2020,4644134.6
1,496.0,2016,12,5,11500,10100,101,195000,5,33,720,3,4,10,2020,118951.6
3,46.4,2020,9,25,11200,10900,0,5957000,8,14,210,2,4,4,2020,12009913.8
2,154.0,2019,11,26,11740,10700,107,6312000,8,16,310,2,3,7,2020,14350649.4
0,539.0,2020,5,29,11650,10900,0,537000,28,44,510,2,7,12,2020,1669758.8
0,152.0,2018,6,29,11590,10900,219,1014000,8,15,910,0,0,0,2020,1210526.3
1,334.4,2020,7,21,11680,10100,0,17670000,8,22,210,2,2,9,2020,40370813.4
0,294.0,2017,10,11,11110,18400,905,69200,5,44,720,4,4,12,2020,95000.0
1,99.4,2020,8,18,11320,10800,1,2759000,8,16,310,2,3,9,2020,6941649.9
2,79.2,2018,3,13,11380,10700,112,2619000,8,14,130,3,4,6,2020,3284090.9
0,83.8,2018,2,12,11590,10600,214,3950000,22,14,150,2,7,8,2020,4992004.8
1,274.9,2019,7,11,11710,11100,8,11700000,8,22,230,2,3,8,2020,28628592.2
1,750.0,2019,4,22,11500,11200,112,184400,1,44,510,2,4,10,2020,200000.0
1,106.1,2018,6,19,11110,13600,910,13330000,8,22,210,2,3,10,2020,21000000.0
3,205.0,2019,12,27,11380,10600,108,6685000,8,22,230,2,4,4,2020,13810878.0
0,58.0,2020,6,29,11380,10100,118,966900,10,14,910,0,0,0,2020,4077931.0
0,231.0,2016,8,11,11530,10800,800,499300,8,44,720,3,7,12,2020,173160.2
1,38.7,2020,7,22,11140,13800,0,5500000,8,15,240,2,3,10,2020,11627907.0
4,67.0,2019,12,30,11320,10800,1,3032000,1,14,230,2,4,2,2020,3283582.1
1,53.1,2020,12,30,11410,11700,2,2319000,8,14,110,3,4,10,2020,3609227.9
1,33.0,2018,12,19,11230,10900,1,5316000,8,16,310,2,7,5,2020,5730303.0
1,282.3,2016,7,25,11560,10300,535,5640000,8,16,210,2,4,8,2020,7562876.4
1,264.0,2020,9,18,11290,10300,902,2064000,5,14,110,2,8,10,2020,2386363.6
3,61.0,2018,5,25,11290,13400,909,3850000,8,15,150,2,7,5,2020,5573770.5
0,215.0,2017,5,22,11350,10500,13,388300,1,44,510,2,4,12,2020,604651.2
2,153.0,2016,6,30,11290,10100,901,3400000,8,11,110,3,4,7,2016,4861372.5
1,39.0,2016,7,13,11260,10600,19,1842000,1,13,150,2,5,8,2020,1865128.2
4,491.9,2019,12,2,11545,10300,560,5505000,8,22,230,2,7,6,2020,8989998.0
1,99.2,2016,10,24,11170,11900,508,6489000,8,14,140,3,7,2,2020,5735887.1
1,102.0,2018,3,30,11350,10500,11,2233000,1,15,110,2,3,10,2020,4264705.9
0,46.0,2018,7,23,11560,13200,670,861300,8,14,910,0,0,0,2020,2739130.4
