road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,hjd_cd,public_price,jimok_cd,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,price_per_area
0,387.0,2019,11,7,11290,13400,909,1267000,8,16,910,0,0,0,2020,1447028.4
1,73.0,2016,12,26,11380,10100,118,3530000,8,15,150,2,7,3,2020,2492191.8
2,63.5,2020,11,25,11140,15700,7,22800000,8,22,210,2,4,6,2020,40170708.7
1,168.9,2018,5,30,11110,17400,915,2355000,8,14,110,3,7,10,2020,2942569.6
0,56.0,2018,1,4,11200,11400,0,1815000,8,33,910,2,0,0,2020,4995357.1
0,35.0,2020,12,28,11170,13100,517,2461000,8,14,910,0,0,0,2020,2857142.9
0,57.0,2017,3,2,11620,10200,645,894300,8,13,910,0,0,0,2020,701754.4
0,128.0,2020,6,1,11380,10100,118,966900,15,14,910,0,0,0,2020,2805000.0
2,96.0,2016,2,23,11350,10600,0,3780000,8,14,210,2,3,6,2020,5475000.0
2,50.5,2020,3,27,11140,17100,15,5125000,8,16,310,2,4,6,2020,20396039.6
1,185.0,2016,6,14,11470,10100,507,574200,8,14,910,2,2,8,2016,927189.2
0,99.0,2018,6,12,11590,10900,219,996600,5,16,910,0,0,0,2020,1210101.0
1,245.8,2020,7,25,11680,10700,0,11890000,8,13,210,2,3,8,2020,30512611.9
1,116.0,2016,12,27,11530,10200,207,2825000,8,33,110,2,4,8,2020,3318965.5
1,72.0,2018,1,4,11215,10100,4,2325000,8,13,130,3,4,8,2020,2905000.0
0,777.0,2016,8,10,11650,10400,0,106000,1,44,720,3,7,12,2020,180180.2
2,648.0,2016,11,1,11110,18300,906,2675000,8,11,110,4,4,7,2020,1851851.9
1,136.0,2018,2,20,11215,10700,0,16560000,1,22,220,2,7,2,2020,11470588.2
1,92.0,2016,6,29,11440,10800,0,4190000,8,14,150,2,3,10,2020,5326087.0
4,106.0,2019,1,4,11740,10700,107,909700,1,44,510,2,7,1,2020,924528.3
3,89.9,2016,6,14,11545,10100,510,3129000,8,33,430,2,1,4,2020,6674082.3
0,99.0,2017,5,17,11500,10500,105,2630000,1,33,160,2,4,8,2020,5226464.6
2,218.6,2020,7,27,11560,13300,710,5090000,8,15,310,2,2,7,2020,14181152.8
1,34.0,2016,7,25,11410,11000,1,3631000,8,14,110,3,4,11,2020,4411764.7
0,107.0,2019,10,4,11500,10900,902,986700,1,16,910,0,0,0,2020,1869158.9
2,51.1,2019,5,9,11410,11000,1,4428000,8,14,140,3,4,7,2020,6892367.9
4,65.3,2020,9,8,11380,10900,115,3588000,8,16,210,3,2,1,2020,11516385.9
1,210.0,2016,6,14,11470,10100,507,574200,28,14,910,2,7,8,2016,927190.5
1,46.0,2016,12,27,11530,10200,207,2825000,8,33,110,2,4,8,2020,3326087.0
2,78.8,2020,7,9,11140,12500,3,12100000,8,22,230,2,3,6,2020,39612690.4
1,52.0,2018,1,9,11530,10800,800,2687000,8,14,150,2,4,8,2020,3390000.0
1,52.0,2016,10,3,11590,10500,209,4210000,8,14,110,3,4,8,2020,2500000.0
2,82.6,2019,5,31,11140,13200,6,13000000,8,22,210,2,4,7,2020,13585956.4
0,42.0,2020,5,20,11620,10200,775,937200,5,14,910,0,0,0,2020,2666666.7
1,38.0,2019,12,27,11290,10100,901,2284000,5,11,110,3,7,10,2020,8052631.6
0,36.0,2016,12,6,11230,10900,1,1052000,8,14,910,0,0,0,2020,2222222.2
1,173.6,2020,2,28,11410,11600,0,5385000,8,22,110,3,4,8,2020,19873271.9
1,38.0,2016,5,26,11560,13200,690,3920000,8,14,150,2,7,2,2020,4336578.9
1,185.0,2020,1,23,11500,10900,902,3642000,8,23,160,2,7,10,2020,10590810.8
1,96.9,2020,12,14,11410,10200,0,2965000,8,14,110,4,4,10,2020,10319917.4
1,116.0,2016,11,18,11290,13300,908,1945000,8,14,110,2,4,8,2020,3050000.0
0,46.0,2019,6,10,11290,13800,913,976800,8,14,910,0,0,0,2020,1552608.7
2,471.7,2020,9,3,11320,10600,1,3882000,8,15,210,2,4,7,2020,5776976.9
2,56.2,2016,3,24,11290,10800,903,6498000,8,22,210,2,3,6,2020,17793594.3
2,35.7,2019,4,8,11230,10200,3,3371000,8,15,160,2,4,6,2019,6575630.3
3,51.1,2020,8,28,11560,13300,700,5415000,8,15,210,2,4,4,2020,8808610.6
3,98.0,2018,6,20,11230,10200,0,9000000,8,22,320,2,4,5,2020,13833775.5
4,92.0,2019,10,8,11110,18300,906,1281000,8,14,910,0,0,0,2020,3263369.6
3,43.4,2016,8,31,11140,12200,3,18410000,8,22,220,2,4,4,2020,46668202.8
0,86.0,2019,3,15,11140,15600,7,23400000,8,22,210,2,4,5,2020,11552790.7
2,48.0,2019,7,15,11290,13500,910,3640000,8,14,310,2,1,6,2020,4006666.7
4,959.0,2018,12,20,11230,11000,3,3960000,1,14,330,2,4,2,2020,5991658.0
3,362.0,2016,9,8,11140,11000,3,28300000,8,22,230,2,1,6,2020,43071933.7
1,66.0,2016,10,17,11440,10100,0,3580000,8,14,140,4,7,8,2020,6060606.1
1,77.0,2018,3,9,11410,11100,2,3400000,8,14,150,3,2,2,2020,2975064.9
0,50.0,2017,8,11,11305,10300,610,1794000,8,15,130,2,8,10,2018,700000.0
1,365.6,2020,8,18,11320,10800,1,2646000,8,16,330,2,3,8,2020,6649343.5
1,116.5,2020,4,10,11680,10500,0,12430000,8,14,210,2,1,8,2020,22523605.2
4,191.7,2020,3,20,11170,11300,506,5778000,8,15,150,2,8,1,2020,10386019.8
0,132.0,2019,9,11,11650,10900,0,436100,2,44,510,2,7,12,2020,793030.3
2,130.2,2016,8,25,11410,11200,0,5860000,8,15,210,2,1,6,2020,5990783.4
1,288.1,2016,7,4,11215,10500,2,4779000,8,14,330,2,7,7,2020,4651162.8
1,84.0,2016,2,29,11620,10100,615,2465000,8,14,110,2,2,8,2016,3050000.0
0,37.0,2017,4,29,11560,13200,630,3440000,8,14,150,3,7,5,2020,3243243.2
1,57.9,2019,5,14,11200,10300,0,5840000,8,16,240,2,4,6,2020,10362694.3
1,33.1,2016,4,19,11560,11300,550,3057000,8,33,110,2,2,10,2020,4531722.1
2,162.0,2020,7,20,11110,17600,908,8811000,8,15,240,2,4,6,2020,21604938.3
0,33.0,2017,2,13,11590,10900,220,6000000,2,16,140,2,4,5,2020,3636363.6
1,103.6,2020,2,5,11170,11100,505,4088000,8,14,110,3,7,10,2020,9169884.2
1,34.0,2019,7,5,11200,11300,0,3237000,8,14,110,2,4,10,2020,20588235.3
2,116.0,2020,6,16,11530,10100,101,4579000,8,16,160,2,4,7,2020,11991379.3
1,961.0,2019,8,26,11650,10400,0,713000,1,44,510,2,7,8,2020,1207076.0
1,48.0,2016,8,25,11170,13000,516,5432000,8,14,110,2,4,10,2020,2500000.0
0,96.0,2018,5,9,11230,10900,1,1336000,8,16,910,0,0,0,2020,11479166.7
1,59.8,2018,6,15,11590,10300,203,2954000,8,14,110,3,4,10,2020,6036789.3
1,337.0,2019,2,25,11650,10900,0,2826000,8,11,110,3,4,10,2020,4033946.6
3,57.0,2018,4,2,11545,10300,600,7029000,8,16,230,2,2,4,2020,8664736.8
1,425.1,2016,7,12,11740,10500,105,6437000,8,22,240,2,7,9,2020,5655140.0
3,344.0,2019,12,26,11440,11800,0,5472000,8,14,320,2,7,5,2020,11898255.8
4,340.8,2016,11,24,11215,10900,0,11420000,8,22,220,2,4,2,2020,14338057.5
1,385.4,2016,6,1,11710,11100,8,12280000,8,22,220,2,3,9,2020,14270887.4
1,113.6,2016,10,1,11260,10200,10,2697000,8,14,110,2,4,8,2020,2376760.6
4,357.0,2019,7,16,11440,11000,0,16800000,8,22,230,2,3,1,2020,27170868.3
0,237.0,2017,1,3,11380,10100,118,1118000,15,14,910,0,0,0,2020,2410000.0
1,147.9,2016,11,8,11410,10900,0,2183000,8,14,110,3,7,10,2020,2316294.8
0,274.0,2019,10,31,11590,10200,204,1244000,1,14,910,0,0,0,2020,2771861.3
4,342.7,2018,4,4,11500,10300,305,5632000,8,15,240,2,4,1,2020,7586810.6
0,205.0,2020,4,1,11350,10500,13,980100,28,16,910,2,7,0,2020,3996585.4
0,60.0,2017,5,25,11305,10200,606,2321000,8,14,130,2,7,6,2020,5000000.0
1,324.7,2020,10,12,11740,10500,105,5930000,8,22,210,2,2,8,2020,19402525.4
1,63.0,2018,3,7,11710,11400,6,2763000,8,13,150,2,4,8,2020,3174603.2
2,47.0,2019,1,31,11260,10500,16,2751000,8,14,150,2,4,6,2020,4382978.7
3,77.0,2018,11,29,11290,13500,910,3868000,8,14,310,2,4,4,2020,4792207.8
2,79.0,2019,6,28,11500,10400,401,3675000,8,33,130,2,7,6,2020,15189873.4
2,410.0,2020,12,2,11305,10100,545,2306000,8,16,910,2,2,7,2020,6048780.5
1,42.0,2016,5,30,11230,10300,2,3340000,8,14,310,2,3,0,2017,3119047.6
2,100.0,2016,6,3,11500,10900,901,2030000,1,14,150,2,7,6,2016,5100000.0
1,123.0,2020,6,1,11380,10100,118,2547000,8,14,150,4,7,10,2020,2565040.7
1,273.0,2020,11,2,11290,13300,908,1625000,5,13,150,3,8,8,2020,1648351.6
0,236.0,2018,1,12,11740,10700,107,704700,8,44,510,2,7,12,2020,593220.3
1,550.6,2020,1,8,11680,10100,0,11310000,8,22,210,2,1,8,2020,27243007.6
0,69.0,2017,4,5,11590,10600,214,3950000,8,14,150,2,7,8,2020,1500000.0
3,291.6,2016,8,16,11650,10800,0,8300000,8,15,240,2,2,5,2020,10408093.3
4,50.6,2016,6,29,11560,11400,560,6160000,8,33,210,2,2,3,2020,7961660.1
0,42.9,2019,11,26,11740,10700,107,1174000,8,16,910,0,0,0,2020,3729603.7
1,194.0,2016,7,27,11290,13800,913,3307000,8,23,150,2,4,8,2020,5977422.7
0,79.0,2017,11,3,11440,10500,0,1646000,16,14,910,2,7,9,2020,3499367.1
1,55.0,2018,6,27,11110,17500,916,2329000,8,14,150,3,7,8,2020,4055090.9
1,83.0,2020,1,13,11530,10600,602,844800,28,14,910,3,3,10,2020,1421807.2
3,294.6,2019,1,9,11620,10200,685,5570000,8,14,330,2,3,5,2020,9164969.5
0,207.0,2016,12,6,11110,18300,906,42300,5,44,730,3,4,12,2020,169082.1
2,544.4,2016,2,26,11215,10500,1,7037000,8,14,330,2,2,7,2020,9313005.1
1,201.1,2016,4,16,11110,18700,907,2131000,8,13,150,4,3,10,2020,2337145.7
2,51.0,2016,2,26,11530,10800,800,5644000,8,22,210,2,7,6,2020,9607843.1
1,40.7,2016,4,27,11230,10200,3,3760000,8,15,150,2,4,2,2020,2211302.2
1,73.0,2018,8,17,11380,10100,118,2858000,8,14,110,3,4,10,2020,7050684.9
0,76.0,2017,1,10,11620,10200,745,1135000,1,14,910,0,0,0,2020,1007631.6
1,47.0,2020,9,15,11290,10100,901,2330000,8,11,110,3,4,10,2020,3297872.3
1,91.0,2018,1,11,11380,10500,107,2298000,8,13,150,2,5,8,2020,3065934.1
2,45.0,2016,11,2,11740,10900,109,10600000,8,22,210,2,4,6,2020,13240222.2
1,243.0,2020,8,26,11320,10800,1,1541000,28,13,150,2,7,10,2020,1810699.6
2,33.0,2019,9,25,11350,10500,11,2517000,1,14,160,2,4,6,2020,5169697.0
1,82.0,2020,5,22,11740,10900,109,6780000,8,16,310,2,3,8,2020,9369390.2
1,194.0,2019,6,10,11560,13200,630,3440000,5,14,150,3,7,5,2020,3930000.0
4,425.0,2019,9,26,11650,11000,0,1346000,2,44,510,2,7,2,2020,2068235.3
1,85.0,2016,11,22,11560,10200,535,4855000,8,16,160,2,4,8,2020,7741176.5
4,120.8,2020,3,20,11680,10500,0,26020000,8,22,230,2,3,1,2020,67195612.6
1,40.0,2019,7,18,11200,11500,0,6336000,8,15,110,2,4,8,2020,9435000.0
0,97.0,2018,10,1,11590,10700,215,2013000,8,14,910,0,0,0,2020,2783505.2
1,815.0,2018,11,22,11170,13100,518,10470000,8,11,160,3,4,9,2020,13496932.5
1,78.0,2019,1,2,11620,10200,745,2737000,8,43,160,3,7,8,2020,3589743.6
1,234.0,2020,7,8,11530,10300,103,2741000,8,14,110,2,8,8,2020,4615384.6
1,132.4,2018,8,31,11110,13600,910,7128000,8,22,910,0,0,0,2020,29009516.6
0,185.0,2018,2,5,11650,10900,0,470400,1,44,510,2,7,12,2020,594594.6
1,238.0,2020,3,7,11110,18400,905,1300000,8,11,150,4,8,8,2020,3571428.6
1,103.8,2016,8,6,11260,10500,17,2876000,8,15,160,2,3,8,2020,2571290.9
0,33.0,2016,2,23,11590,10200,204,1821000,8,15,910,0,0,0,2020,3030303.0
1,196.8,2020,4,26,11410,11900,0,2187000,8,14,110,3,4,10,2020,4522357.7
2,43.0,2020,10,6,11290,13600,911,4680000,8,22,150,2,4,7,2020,6046511.6
0,103.0,2018,11,14,11680,10300,0,2070000,1,43,510,2,4,12,2020,4660194.2
1,68.0,2019,10,24,11650,10200,0,939200,1,13,510,2,7,10,2020,14823529.4
1,274.0,2020,8,6,11230,10400,3,2891000,8,14,150,2,4,8,2020,5444927.0
1,89.0,2018,1,23,11530,10800,0,3384000,8,22,150,2,7,8,2020,4494382.0
3,41.0,2018,5,22,11170,13000,515,13200000,8,14,210,2,4,4,2020,25609756.1
1,122.3,2018,2,23,11410,10200,0,5480000,8,15,240,2,4,8,2020,9681112.0
2,63.0,2016,1,22,11170,13600,520,3102000,8,15,910,3,7,7,2020,2698412.7
2,49.0,2018,3,5,11320,10800,1,3653000,8,16,320,2,1,6,2020,4081632.7
2,231.6,2020,11,12,11680,10100,0,5491000,8,15,160,2,8,6,2020,10464335.1
0,195.0,2019,11,14,11530,10900,109,339500,1,44,510,2,7,12,2020,523487.2
0,55.0,2017,7,7,11410,11800,0,818400,5,14,910,0,0,0,2020,909090.9
4,198.0,2019,12,27,11500,10400,401,4805000,9,33,410,2,4,2,2020,10394596.0
1,49.6,2018,12,17,11440,10400,0,4459000,8,14,110,3,4,10,2020,5846774.2
1,152.0,2016,6,2,11740,10600,106,582600,5,44,510,2,7,8,2020,2302631.6
2,43.0,2019,5,3,11290,13500,910,2480000,1,14,160,2,5,6,2020,4232558.1
1,60.3,2019,11,7,11290,13400,909,2961000,8,16,110,2,8,10,2020,3399668.3
1,46.9,2019,11,20,11170,10100,501,3705000,8,14,110,3,4,10,2020,3667377.4
4,77.4,2019,2,28,11200,10400,0,6201000,8,22,150,2,8,1,2020,21820155.0
1,190.6,2019,4,2,11680,10800,0,7030000,8,15,330,2,3,8,2020,23405036.7
1,294.1,2020,1,28,11350,10300,0,2849000,8,14,150,2,3,9,2020,2342740.6
0,43.0,2017,10,12,11620,10200,745,1069000,1,14,910,0,0,0,2020,1162790.7
1,40.0,2018,2,28,11500,10700,107,554400,1,43,910,3,4,8,2020,2112500.0
1,84.3,2016,8,4,11560,13200,630,3726000,8,14,330,2,3,6,2020,4151838.7
3,323.0,2016,1,22,11410,11100,2,3428000,8,14,130,3,5,4,2020,4396284.8
0,544.0,2017,6,22,11290,10100,901,343300,5,11,730,3,7,12,2020,173713.2
3,315.0,2019,7,24,11680,10800,0,10240000,8,13,210,2,3,4,2020,19904761.9
1,261.0,2020,9,15,11530,10800,800,1995000,8,14,110,2,7,10,2020,4537509.6
4,238.3,2020,1,13,11170,13000,515,28330000,8,22,210,2,4,1,2020,63424255.1
1,89.0,2019,11,21,11530,10100,101,3848000,8,16,110,2,4,10,2020,6494382.0
0,256.0,2016,1,7,11740,10600,106,3822000,8,14,130,2,4,4,2020,3789062.5
4,330.0,2020,8,25,11380,11400,0,3417000,8,14,230,2,5,3,2020,5757575.8
1,416.9,2019,4,1,11380,10800,113,5730000,8,15,210,2,4,3,2020,5181098.6
2,58.8,2019,4,8,11230,10200,3,3371000,8,15,160,2,4,6,2019,6575510.2
1,339.6,2018,5,23,11650,10800,0,11800000,8,22,230,2,1,9,2020,20267491.2
4,66.6,2016,11,21,11170,11900,508,6489000,8,14,140,3,7,2,2020,10002102.1
1,301.2,2018,3,15,11560,11100,550,4550000,8,33,330,2,1,8,2020,9385790.2
1,269.2,2016,10,20,11680,10800,0,7428000,8,14,240,2,7,8,2020,9877414.6
3,350.5,2016,2,2,11680,10300,0,6785000,8,14,210,2,2,4,2020,5420827.4
1,930.0,2019,7,15,11650,11100,0,175600,1,44,510,3,7,8,2020,1053763.4
0,867.0,2017,9,15,11260,10500,16,1407000,8,44,160,2,8,8,2020,865051.9
1,228.3,2020,2,14,11170,12500,511,10380000,8,14,330,2,4,8,2020,28033289.5
4,260.7,2020,1,20,11380,10200,101,5200000,8,15,230,2,1,3,2020,8592251.6
1,145.0,2020,2,19,11530,10700,703,1948000,8,13,110,3,7,8,2020,3629793.1
4,237.5,2020,2,25,11110,17700,908,19000000,8,22,210,2,4,2,2020,20974652.6
1,89.0,2019,10,14,11440,11800,0,4851000,8,14,160,3,4,8,2020,11235955.1
1,222.0,2019,2,2,11500,11100,111,156400,2,44,610,2,4,8,2020,181081.1
1,37.0,2018,2,11,11560,13200,680,3920000,8,14,150,3,4,5,2020,12524054.1
1,123.0,2016,8,25,11740,10900,109,3621000,8,15,110,2,4,10,2020,3008130.1
4,166.0,2020,10,13,11500,10200,201,5133000,8,15,230,1,3,3,2020,8975903.6
4,125.4,2019,1,30,11680,10100,0,15520000,8,15,230,2,3,2,2020,19650079.7
0,99.0,2016,9,28,11560,13200,630,3440000,8,14,150,3,7,5,2020,1572424.2
1,45.0,2018,12,28,11305,10300,645,1630000,8,13,110,2,7,8,2020,2865111.1
3,55.3,2019,5,16,11215,10500,1,6100000,8,15,230,2,4,4,2020,10126582.3
1,132.2,2018,5,10,11140,12100,2,3635000,11,14,150,3,2,8,2020,6807866.9
1,110.7,2016,9,2,11470,10200,602,4171000,8,14,110,2,2,9,2020,6205962.1
1,67.0,2020,10,19,11230,10900,1,3035000,8,15,150,2,4,8,2020,3220000.0
1,537.0,2016,3,16,11110,18200,906,2522000,8,11,160,3,4,8,2020,2715083.8
1,91.0,2016,11,24,11560,13200,630,2970000,8,14,110,2,4,8,2020,4395604.4
1,290.0,2020,9,3,11110,18200,906,2460000,8,13,150,3,4,8,2020,4327586.2
2,43.0,2020,10,22,11230,10900,1,2992000,8,14,150,2,2,6,2020,4304418.6
3,87.0,2018,3,6,11305,10100,545,2670000,5,14,140,3,4,5,2020,2773563.2
1,299.0,2020,1,10,11590,10500,209,3576000,8,14,110,2,7,8,2020,7709030.1
4,94.0,2019,12,27,11500,10400,401,4805000,8,33,410,2,4,2,2020,10394574.5
3,54.1,2016,8,31,11140,12200,3,18410000,8,22,220,2,4,4,2020,46668207.0
1,466.0,2019,9,6,11110,18200,906,2600000,1,11,150,3,4,8,2020,3154506.4
3,165.0,2020,1,17,11170,13100,517,3303000,8,16,910,2,4,5,2020,37072727.3
1,141.0,2019,7,5,11200,11300,0,3148000,28,14,150,2,7,10,2020,12099432.6
1,84.0,2016,11,21,11530,10800,800,1929000,8,14,110,3,4,8,2020,2083333.3
0,367.0,2017,10,11,11110,18400,905,69200,5,44,720,4,4,12,2020,95013.6
2,46.4,2019,11,7,11290,13400,909,4222000,8,16,110,2,2,6,2020,4741379.3
1,61.5,2019,2,21,11440,10100,0,7200000,8,16,330,2,4,8,2020,15933495.9
1,50.0,2019,12,27,11110,18200,906,2333000,1,11,320,3,7,8,2020,1780000.0
4,269.7,2018,1,5,11650,10200,0,11140000,8,15,210,2,3,1,2020,17426770.5
2,73.4,2016,6,11,11170,12800,512,22100000,8,22,240,2,4,2,2020,14879972.8
1,75.0,2020,5,19,11170,12800,512,5710000,8,14,110,2,2,10,2020,14933333.3
2,128.9,2018,10,18,11560,10700,535,5189000,8,33,210,2,2,7,2020,9669899.1
