road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,hjd_cd,public_price,jimok_cd,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr
1,42.0,2016,11,1,11260,10100,7,1998000,8,14,110,2,1,0,2017
2,570.2,2018,3,22,11110,17500,916,7908000,8,22,220,2,1,7,2020
0,92.0,2020,10,12,11290,10100,901,799000,5,11,150,3,4,12,2020
1,321.0,2019,10,7,11530,10700,701,2974000,8,22,150,3,4,10,2020
1,116.0,2018,8,10,11290,11000,903,3478000,8,14,110,3,2,8,2020
3,87.0,2018,3,6,11305,10100,545,2670000,5,14,140,3,4,5,2020
4,196.0,2018,5,22,11290,12500,906,5460000,8,15,240,2,2,3,2020
1,175.3,2020,5,7,11260,10200,9,2390000,8,14,160,3,4,8,2020
0,33.1,2020,1,20,11140,16500,14,973500,8,22,910,0,0,0,2020
0,94.0,2019,12,19,11410,11100,2,3400000,5,14,150,3,2,2,2020
1,228.0,2020,11,20,11680,11100,0,797100,8,44,510,2,4,8,2020
1,297.0,2019,7,9,11290,11500,904,4106000,8,14,130,2,3,7,2020
0,70.7,2018,3,7,11290,11300,904,848100,8,14,910,0,0,0,2020
1,38.0,2016,5,26,11560,13200,690,3920000,8,14,150,2,7,2,2020
1,90.0,2019,5,3,11320,10800,1,1927000,1,13,150,2,7,8,2020
2,79.0,2019,11,27,11530,10100,101,1402000,1,33,910,2,3,7,2020
1,74.0,2016,9,29,11410,11000,3,3950000,8,14,150,3,1,5,2020
1,84.0,2016,11,21,11530,10800,800,1929000,8,14,110,3,4,8,2020
1,120.2,2020,11,6,11680,10100,0,8099000,8,14,330,2,2,9,2020
0,85.0,2017,12,4,11140,16100,7,24000000,8,22,210,2,3,4,2020
1,73.0,2016,12,1,11305,10300,645,1270000,8,44,110,2,4,8,2020
1,72.6,2019,11,7,11290,13400,909,3346000,8,16,110,2,3,10,2020
4,812.0,2016,6,20,11500,10300,304,5405000,8,15,210,2,3,1,2020
1,41.7,2019,6,18,11200,11100,0,3432000,8,14,110,3,4,8,2020
1,38.3,2018,6,15,11110,13600,910,11930000,8,22,210,2,7,10,2020
1,75.0,2016,4,18,11260,10600,19,1339000,1,44,110,2,4,10,2020
0,237.0,2017,1,3,11380,10100,118,1118000,15,14,910,0,0,0,2020
1,212.0,2020,10,17,11530,10900,109,481600,2,44,510,2,7,8,2020
4,365.6,2020,1,8,11470,10300,703,3562000,8,15,230,2,3,1,2020
1,232.5,2018,3,23,11650,10600,0,5178000,8,14,130,2,4,8,2020
0,95.0,2018,3,29,11410,11100,0,3025000,8,14,150,3,4,7,2020
1,126.0,2020,12,15,11650,10700,0,10240000,8,15,230,2,4,8,2020
1,383.0,2020,10,13,11140,16200,11,4057000,8,14,110,2,4,8,2020
1,64.0,2020,3,5,11590,10400,201,4577000,8,14,310,2,4,8,2020
4,441.3,2019,6,26,11320,10800,1,4796000,8,14,210,2,3,1,2020
2,174.0,2019,5,9,11350,10500,11,9720000,1,16,210,2,4,7,2020
2,231.6,2016,4,25,11680,10100,0,5491000,8,15,160,2,8,6,2020
1,37.0,2019,4,3,11290,12500,906,3537000,8,15,110,2,4,10,2020
1,122.3,2018,2,23,11410,10200,0,5480000,8,15,240,2,4,8,2020
3,66.1,2019,4,12,11140,13500,6,11580000,8,22,230,2,4,8,2020
1,332.4,2016,1,25,11650,10200,0,6850000,8,14,240,2,3,8,2020
2,265.0,2018,2,10,11350,10200,1,2688000,8,14,150,2,4,6,2020
4,208.0,2019,12,27,11380,10600,108,7341000,8,22,230,2,4,1,2020
4,886.0,2019,10,8,11110,18300,906,4589000,8,14,230,2,7,2,2020
1,136.0,2019,7,24,11590,10500,209,4210000,8,13,130,4,4,8,2020
1,43.0,2016,6,17,11290,10100,901,2015000,8,11,150,2,5,8,2018
1,53.2,2019,5,20,11110,14000,904,3058000,8,13,110,3,7,10,2020
2,48.1,2018,2,19,11530,10200,203,3610000,8,33,230,2,4,6,2019
1,34.0,2019,7,30,11410,11900,2,927300,8,15,910,3,2,8,2020
4,67.3,2020,12,15,11650,10700,0,13100000,8,15,210,2,7,3,2020
2,900.4,2016,4,27,11545,10200,520,5250000,8,22,240,2,3,5,2019
1,430.0,2016,9,21,11140,16500,14,5420000,8,22,310,2,4,6,2018
1,90.0,2020,6,13,11380,11400,119,1809000,28,44,310,2,4,8,2020
3,195.0,2016,10,31,11590,10200,204,4369000,5,15,110,3,4,4,2020
1,272.3,2016,5,18,11260,10300,11,2534000,8,14,130,3,4,8,2020
0,55.0,2016,3,28,11290,13800,913,3110000,10,14,150,2,4,5,2020
1,108.4,2016,10,11,11650,10800,801,4821000,8,11,110,2,3,8,2020
2,277.0,2019,10,8,11620,10200,745,3992000,2,14,320,2,4,9,2020
0,84.0,2018,6,28,11110,18200,906,570000,8,44,910,0,0,0,2020
0,83.0,2019,12,27,11500,10400,401,2500000,5,33,150,2,5,12,2020
1,117.0,2018,1,11,11530,10800,800,1929000,8,14,110,3,4,8,2020
1,100.0,2018,11,15,11590,10100,202,4082000,8,14,110,3,7,8,2020
4,959.0,2018,12,20,11230,11000,3,3960000,1,14,330,2,4,2,2020
0,308.0,2018,10,15,11740,10500,105,166900,5,44,720,2,7,12,2020
1,277.1,2018,5,14,11650,10200,0,6666000,8,14,240,2,1,8,2020
